18.06.2026                                                                                             Dynamic List Display                                                                                                    1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
18.06.2026                                                                                      Order Info System - Production List                                                                                          1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SchedStart|Sched.Fin.|Act. start|Act.finish|Order       |Material  |Mat. descriptn                      |Target qty|Conf. qty|Customer                           |Priority|System Status                           |UserStatus|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|14.07.2026|22.07.2026|          |          |200234414131|BM8245-000|BCIC-3129-CR                        |      168 |       0 |                                   |        |CRTD PRC  BCRQ MACM MSCP SETC           |          |
|16.06.2026|16.06.2026|          |          |200234354370|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|16.06.2026|16.06.2026|          |          |200234354372|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|17.06.2026|17.06.2026|          |          |200234354374|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|19.06.2026|19.06.2026|          |          |200234354375|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|22.06.2026|23.06.2026|          |          |200234402113|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|22.06.2026|23.06.2026|          |          |200234402114|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|23.06.2026|23.06.2026|          |          |200234402115|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|23.06.2026|23.06.2026|          |          |200234402116|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|24.06.2026|24.06.2026|          |          |200234402157|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|24.06.2026|24.06.2026|          |          |200234402158|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|25.06.2026|25.06.2026|          |          |200234402159|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|14.04.2026|15.04.2026|29.04.2026|          |200233958635|EP0779-000|EXRM-1491-960-33X3.6-QA             |        5 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|          |
|17.06.2026|21.06.2026|          |18.06.2026|200234354267|ET3937-000|CSJB-63/19-462/U-S                  |      330 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*|COMP PREP |
|22.06.2026|25.06.2026|          |          |200234402022|ET3937-000|CSJB-63/19-462/U-S                  |      300 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|23.06.2026|26.06.2026|          |          |200234402024|ET3937-000|CSJB-63/19-462/U-S                  |      300 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|23.06.2026|26.06.2026|          |          |200234402026|ET3937-000|CSJB-63/19-462/U-S                  |      100 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|17.07.2026|20.07.2026|          |          |200234347533|ET3937-000|CSJB-63/19-462/U-S                  |       30 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|31.07.2026|03.08.2026|          |          |200234069557|ET3937-000|CSJB-63/19-462/U-S                  |       63 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|26.06.2026|29.06.2026|          |          |200234347521|ET3935-000|CSJB-55/17-435/U-S                  |       30 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|26.06.2026|29.06.2026|          |          |200234349482|ET3935-000|CSJB-55/17-435/U-S                  |       20 |       0 |Tyco Electronics Polska Sp z o.o.  |5       |CRTD MSPT PRC  BASC BCRQ MSCP SETC      |          |
|25.09.2026|29.09.2026|          |          |200234252792|ET3935-000|CSJB-55/17-435/U-S                  |       18 |       0 |TE Connectivity Australia Pty Ltd  |5       |CRTD PRC  CSER BASC BCRQ MACM SETC      |          |
|17.06.2026|20.06.2026|18.06.2026|18.06.2026|200234181264|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|COMP PREP |
|18.06.2026|22.06.2026|          |          |200234354263|ES7593-000|CSJB-55/17-435/U-CN                 |      300 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*|COMP PREP |
|09.07.2026|12.07.2026|          |          |200234181266|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|16.07.2026|19.07.2026|          |          |200234181268|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|23.07.2026|26.07.2026|          |          |200234181269|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|30.07.2026|02.08.2026|          |          |200234181272|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|06.08.2026|09.08.2026|          |          |200234181274|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM SETC           |          |
|13.08.2026|16.08.2026|          |          |200234181397|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|20.08.2026|23.08.2026|          |          |200234181398|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|03.09.2026|06.09.2026|          |          |200234181400|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|17.06.2026|17.06.2026|          |18.06.2026|200234354274|ET3944-000|CSJB-75/25-552/U-Q-S                |      360 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*|PREP      |
|23.06.2026|23.06.2026|          |          |200234402104|ET3944-000|CSJB-75/25-552/U-Q-S                |      360 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|18.06.2026|18.06.2026|          |          |200234354358|ET3951-000|CSJB-63/19-462/U-Q-S                |      400 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |PREP      |
|18.06.2026|18.06.2026|          |          |200234368182|ET3951-000|CSJB-63/19-462/U-Q-S                |      300 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |PREP      |
|23.06.2026|23.06.2026|          |          |200234402105|ET3951-000|CSJB-63/19-462/U-Q-S                |      300 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|19.06.2026|20.06.2026|          |          |200234354409|ES7590-000|CSJB-47/14-435/U-Q-CN               |      420 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |PREP      |
|22.06.2026|23.06.2026|          |          |200234402109|ES7590-000|CSJB-47/14-435/U-Q-CN               |      660 |       0 |                                   |        |CRTD MSPT PRC  BASC BCRQ MSCP SETC      |          |
|09.06.2026|14.06.2026|15.06.2026|          |200234295800|ES2816-000|CSJP-55/17-435/U-CN                 |      300 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|PREP      |
