bench_id,bench_name,scheduling_pool,sequence,order_number,material,material_description,customer,is_australia,priority,scheduled_start,scheduled_finish,target_finish_day_offset,bench_remaining_minutes,sap_remaining_minutes,adjusted_remaining_minutes,staffing_factor,staffing_override_people,planned_start_minute,planned_finish_minute,planned_start_time,planned_finish_time,planned_finish_day_offset,due_status,due_delta_days,due_message,bench_work_centres,bench_operations,system_status,user_status,override_type,override_note,assignment_source,assignment_source_label,assignment_reason,queue_stability,schedule_confidence,confidence_reason,live_active,live_started_at,live_started_remaining_minutes,live_elapsed_minutes,live_sap_refresh_at
CM04,CSKI/MVKI Bench 4,CSKI_MVKI,5,200233600285,CR0676-000,CATJ-12B/3XU-3SB-GB02,SP Power Systems Ltd,no,5,30.07.2026,31.07.2026,2,164,164,164,1.0000,2,1281,1445,Mon 03/08 08:01,Mon 03/08 10:55,3,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM SETC,COMP PREP,,,OPTIMISED,Optimised,"No evaluated option fully recovered the order; this bench produced the strongest overall result. The next-best bench, CM03, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
CM04,CSKI/MVKI Bench 4,CSKI_MVKI,6,200233600363,CS4331-000,CATJ-12B/1XU-3SB-GB03,SP Power Systems Ltd,no,5,30.07.2026,31.07.2026,2,352,352,352,1.0000,2,1445,1797,Mon 03/08 10:55,Tue 04/08 08:42,4,LATE,2,Late by 2 working days,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The next-best bench, CM05, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
CM05,CSKI/MVKI Bench 5,CSKI_MVKI,1,200234582854,EK8957-000,SMOE-64558,UK Power Networks(Operations) Ltd,no,5,29.07.2026,29.07.2026,0,234,234,234,1.0000,,275,509,13:15,Thu 30/07 08:19,1,LATE,1,Late by 1 working day,MVKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,,SAP snapshot 234 min ・ remaining estimate 234 min,LIVE,Live WIP,"The order is actively being worked on this bench, so LINEUP keeps it as the current order.",LIVE LOCK,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,yes,2026-07-29 12:52:26,234,0,2026-07-29 13:04:24
CM05,CSKI/MVKI Bench 5,CSKI_MVKI,2,200234036402,EN6738-000,CSJH-24C/3XU-3XU-M1-SE01,Ahlsell Sverige AB,no,5,29.07.2026,29.07.2026,0,120,120,120,1.0000,,509,629,Thu 30/07 08:19,Thu 30/07 10:29,1,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP,AUTO LOCK,Preserved from previous schedule to stabilise the near-term queue,STABLE,Stable Queue,LINEUP preserved this order on CM05 because it was the next automatic order in the previous plan.,STABLE NEXT,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
CM05,CSKI/MVKI Bench 5,CSKI_MVKI,3,200234352768,ER6985-000,CSJA-ENDSEAL-KIT-C-NL01,Tyco Electronics Polska Sp z o.o.,no,5,29.07.2026,29.07.2026,0,118,118,118,1.0000,,629,747,Thu 30/07 10:29,Thu 30/07 12:27,1,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP,,,OPTIMISED,Optimised,"This bench gives an on-time predicted finish. The next-best bench, CM06, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
CM05,CSKI/MVKI Bench 5,CSKI_MVKI,4,200234680640,CS8298-000,CSJA-24C/1XU-1XU-M1-NO01,Ensto Nor AS,no,5,30.07.2026,30.07.2026,1,122,122,122,1.0000,,747,869,Thu 30/07 12:27,Thu 30/07 15:14,1,ON TARGET,0,Finishes on scheduled working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"This bench gives an on-time predicted finish. The next-best bench, CM06, would create more due-date risk.",FLEXIBLE,MEDIUM,"The current automatic plan is on target, but later automatic queue positions may still be re-optimised.",,,,,
CM05,CSKI/MVKI Bench 5,CSKI_MVKI,5,200234660243,EN2828-000,CSJA-24C/1XU-1XU-DE02,Westnetz GmbH,no,5,29.07.2026,30.07.2026,1,582,582,582,1.0000,,869,1451,Thu 30/07 15:14,Mon 03/08 11:01,3,LATE,2,Late by 2 working days,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM SETC,COMP PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The next-best bench, CM06, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
CM06,CSKI/MVKI Bench 6,CSKI_MVKI,1,200234624696,CS8298-000,CSJA-24C/1XU-1XU-M1-NO01,Ensto Nor AS,no,5,29.07.2026,29.07.2026,0,195,195,195,1.0000,,275,470,13:15,16:30,0,ON TARGET,0,Finishes on scheduled working day,CSKI-1,0010,REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*,COMP,,SAP snapshot 195 min ・ remaining estimate 195 min,LIVE,Live WIP,"The order is actively being worked on this bench, so LINEUP keeps it as the current order.",LIVE LOCK,HIGH,This is live tracked work and is locked to the current bench.,yes,2026-07-29 10:33:59,195,0,2026-07-29 13:04:24
CM06,CSKI/MVKI Bench 6,CSKI_MVKI,2,200234507193,204099-000,SMOE-62585,SSE Stock Ltd,no,5,30.07.2026,30.07.2026,1,184,184,184,1.0000,,470,654,16:30,Thu 30/07 10:54,1,ON TARGET,0,Finishes on scheduled working day,MVKI-1,0005,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,AUTO LOCK,Preserved from previous schedule to stabilise the near-term queue,STABLE,Stable Queue,LINEUP preserved this order on CM06 because it was the next automatic order in the previous plan.,STABLE NEXT,MEDIUM,"The order is stable on this bench, but its timing still depends on preceding work completing as forecast.",,,,,
CM06,CSKI/MVKI Bench 6,CSKI_MVKI,3,200234672208,BM4747-000,CATJ-12F/3XU-6SB-GB04,SP Power Systems Ltd,no,5,30.07.2026,30.07.2026,1,266,266,266,1.0000,,654,920,Thu 30/07 10:54,Thu 30/07 16:05,1,ON TARGET,0,Finishes on scheduled working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"This bench gives an on-time predicted finish. The next-best bench, CM04, would create more due-date risk.",FLEXIBLE,MEDIUM,"The current automatic plan is on target, but later automatic queue positions may still be re-optimised.",,,,,
